date,weight,fat,visceralFat,muscle,delete_1,delete_1,Peso Min,Peso Max,%min,%max
3/09/2012,78.1,22.3,,,,,72,90,16,44094
10/09/2012,77.2,21.8,,,,,,,,
19/09/2012,76,20.5,,,,,,,,
30/09/2012,76,20.5,,,,,,,,
28/10/2012,75.5,,,,,,,,,
21/11/2012,76.3,20.5,,,,,,,,
4/03/2013,74.5,20.1,,,,,,,,
4/04/2013,73.1,19.7,,,,,,,,
14/04/2013,72.6,18.5,,,,,,,,
5/05/2013,72.6,18.5,,,,,,,,
26/05/2013,71.5,18,,,,,,,,
30/07/2013,72.5,,,,,,,,,
13/08/2013,71.5,18.2,,,,,,,,
19/08/2013,72,18.2,,,,,,,,
2/09/2013,72.9,,,,,,,,,
7/09/2013,71.8,18.2,,,,,,,,
16/09/2013,72.4,,,,,,,,,
24/09/2013,70.8,17.5,,,,,,,,
31/09/2013,72,,,,,,,,,
7/10/2013,71.7,,,,,,,,,
17/10/2013,71.7,18,,,,,,,,
3/12/2013,72.5,18.5,,,,,,,,
27/12/2013,73,,,,,,,,,
3/01/2013,72.7,,,,,,,,,
9/01/2014,72.5,,,,,,,,,
13/01/2014,73.7,18.9,,,,,,,,
21/01/2014,73.4,18.5,,,,,,,,
29/01/2014,72.5,18.3,,,,,,,,
18/02/2014,73.5,19,,,,,,,,
20/03/2012,74.4,,,,,,,,,
27/03/2014,73.7,,,,,,,,,
8/04/2014,72.7,18.7,,,,,,,,
3/04/2014,74.6,15.6,,,,,,,,
5/05/2014,73.9,15.2,,,,,,,,
19/05/2014,74.1,15.6,,,,,,,,
2/06/2014,74,15.4,,,,,,,,
21/06/2014,73.9,15.3,,,,,,,,
24/07/2014,76.8,,,,,,,,,
26/07/2014,75.7,,,,,,,,,
4/08/2014,74.9,,,,,,,,,
11/08/2014,74.6,15.8,,,,,,,,
10/08/2014,74.4,15.5,,,,,,,,
25/08/2014,73.7,15.8,,,,,,,,
1/09/2014,75,16,,,,,,,,
8/09/2014,74.2,15.4,,,,,,,,
15/09/2013,74.5,15.5,,,,,,,,
22/09/2014,73.9,,,,,,,,,
29/09/2014,73.7,15.2,,,,,,,,
13/10/2014,74,15.2,,,,,,,,
20/11/2014,75,16,,,,,,,,
02/01/2015,76.5,,,,,,,,,
7/01/2015,74.7,,,,,,,,,
3/02/2015,74.5,,,,,,,,,
27/02/2015,75.2,16,,,,,,,,
6/03/2015,76,,,,,,,,,
18/03/2015,76.9,,,,,,,,,
24/03/2015,76.2,,,,,,,,,
31/03/2015,76.5,,,,,,,,,
11/04/2015,75.2,,,,,,,,,
18/04/2015,75.5,,,,,,,,,
24/04/2015,73.8,15.2,,,,,,,,
13/05/2015,74.7,15.3,,,,,,,,
1/06/2015,74.5,15.8,,,,,,,,
26/06/2015,74.1,15.5,,,,,,,,
16/07/2015,78,,,,,,,,,
27/07/2015,77,,,,,,,,,
3/08/2015,76,,,,,,,,,
06/08/2015,77,,,,,,,,,
10/08/2015,76.7,17.1,,,,,,,,
18/08/2015,76.8,,,,,,,,,
26/08/2015,75.5,,,,,,,,,
18/10/2015,76.7,17.1,,,,,,,,
30/10/2015,76.9,17.1,,,,,,,,
7/11/2015,77.4,,,,,,,,,
19/11/2015,77.6,17.6,,,,,,,,
23/11/2015,78.3,17.8,,,,,,,,
30/11/2015,78.2,17.8,,,,,,,,
4/12/2015,78.8,,,,,,,,,
7/01/2016,79.2,18.4,,,,,,,,
16/01/2016,79.7,,,,,,,,,
15/02/2016,78.5,,,,,,,,,
22/02/2016,78.2,17.8,,,,,,,,
15/03/2016,78.8,18.1,,,,,,,,
16/03/2016,77.8,17.6,,,,,,,,
8/04/2016,80.3,,,,,,,,,
19/04/2016,80.8,19.2,,,,,,,,
27/04/2016,80.4,19.1,,,,,,,,
28/04/2016,81,19.1,,,,,,,,
9/05/2016,79.3,18.4,,,,,,,,
25/05/2016,79.9,,,,,,,,,
26/06/2016,81.7,,,,,,,,,
11/06/2016,83.5,,,,,,,,,
1/08/2016,82.9,,,,,,,,,
8/08/2016,83.1,20.5,,,,,,,,
24/08/2016,82.6,,,,,,,,,
1/09/2016,82.6,20.5,,,,,,,,
12/09/2016,83,,,,,,,,,
6/10/2017,83.2,,,,,,,,,
12/10/2016,82.6,,,,,,,,,
24/10/2016,84.5,,,,,,,,,
31/10/2016,85.3,,,,,,,,,
7/11/2016,84.3,,,,,,,,,
14/11/2016,82.7,,,,,,,,,
3/12/2016,84.6,21.6,,,,,,,,
2/01/2017,84.5,21.5,,,,,,,,
8/01/2017,87.1,22.2,,,,,,,,
16/01/2017,86.4,,,,,,,,,
30/01/2017,81.5,,,,,,,,,
2/02/2017,82.2,19.9,,,,,,,,
21/02/2017,80.5,18.1,,,,,,,,
27/02/2017,80.5,19.1,,,,,,,,
6/03/2017,80.9,19.3,,,,,,,,
11/02/2017,79.7,18.3,,,,,,,,
12/03/2017,82.5,20.2,,,,,,,,
20/03/2017,81.3,19.6,,,,,,,,
28/04/2017,83.8,20.5,,,,,,,,
8/05/2017,82.9,20.5,,,,,,,,
13/05/2017,83.8,,,,,,,,,
29/05/2017,82.8,20.5,,,,,,,,
7/06/2017,84.5,,,,,,,,,
20/06/2007,83.6,20.7,,,,,,,,
27/06/2017,83.9,,,,,,,,,
3/07/2017,83.3,20.05,,,,,,,,
10/07/2017,83,20.4,,,,,,,,
26/07/2017,83,,,,,,,,,
29/07/2017,84.1,21,,,,,,,,
5/08/2017,84.9,21.3,,,,,,,,
21/08/2017,83.7,20.7,,,,,,,,
28/08/2017,82.7,20.2,,,,,,,,
11/09/2017,84,,,,,,,,,
9/10/2017,83.8,20.8,,,,,,,,
26/10/2017,83.6,20.7,,,,,,,,
4/11/2017,84.7,,,,,,,,,
13/11/2017,83.1,20.4,,,,,,,,
26/12/2017,85.1,,,,,,,,,
8/01/2018,86.6,,,,,,,,,
4/02/2018,86.9,22.3,,,,,,,,
27/02/2018,86.7,22.1,,,,,,,,
12/03/2018,88.3,,,,,,,,,
19/03/2017,86.1,21.8,,,,,,,,
12/04/2018,86.9,22.2,,,,,,,,
23/04/2018,86.7,,,,,,,,,
3/05/2018,87.3,22.4,,,,,,,,
14/05/2018,87,22.3,,,,,,,,
27/05/2016,88.6,18.3,6.5,6.8,,,,,,
3/06/2018,87.6,22.1,8,64.9,,,,,,
10/06/2018,87.1,20.9,7.5,65.5,,,,,,
17/06/2018,88,20.7,7.5,66.4,,,,,,
24/06/2018,87.2,20.9,7.5,65.5,,,,,,
16/07/2018,87.7,20.5,7,66.3,,,,,,
23/07/2018,90,20.3,7.5,68.2,,,,,,
3/08/2018,87.6,19.9,7,66.7,,,,,,
8/08/2018,87.1,23.1,8,63.7,,,,,,
20/08/2018,85.4,21.2,7.5,64,,,,,,
27/08/2018,85.2,21.7,7.5,63.4,,,,,,
3/09/2018,86.1,22.1,7.5,63.8,,,,,,
24/09/2018,87,19.9,7,66.3,,,,,,
1/10/2018,87.6,19.4,7,67.1,20.1,,,,,
8/10/2018,87.5,20.5,7,66.1,21.5,,,,,
20/10/2018,86.7,19.6,7,66.1,20.5,,,,,
21/10/2018,86.6,19.7,7,66.1,21,,,,,
29/10/2018,85.9,20.3,7,65.1,24.3,,,,,
5/11/2018,85,21.7,7.5,63.2,23.5,,,,,
16/11/2018,85,21.4,7.5,63.3,22.8,,,,,
3/12/8018,86.3,20,7,65.6,21,,,,,
8/12/2018,84.9,19.9,7,64.6,20.9,,,,,
15/12/2018,84.9,19.4,6.5,65.1,20.3,,,,,
23/12/2018,84.5,19.3,6.5,64.8,20.1,,,,,
9/01/2019,84.6,20.5,7,64,21.8,,,,,
3/02/2019,85.2,17.7,6,66.7,18.3,,,,,
18/02/2019,84.6,20.4,7,64,21.9,,,,,
3/03/2019,84.3,17.3,6,66.3,18.1,,,,,
25/03/2019,85.2,21.7,7.5,63.4,23.1,,,,,
13/04/2019,85,,,,,,,,,
3/05/2019,87,,,,,,,,,
4/05/2019,86.3,20.4,7.5,65.3,21.7,,,,,
6/05/2019,85.6,21.2,7.5,64.1,22.5,,,,,
10/06/2019,85.1,22,7.5,63.1,23.7,,,,,
17/06/2019,84.9,21.8,7.5,63.1,23.6,,,,,
1/07/2019,86,,,,21.7,,,,,
8/07/2019,85,20.2,7,64.4,,,,,,
15/07/2019,85,19.7,7,64.9,20.9,,,,,
29/07/2019,85.6,20.3,7,64.9,22.2,,,,,
5/08/2019,84.1,19.2,6.5,64.6,20.2,,,,,
12/08/2019,84.2,18.3,6.5,65.4,19.6,,,,,
19/08/2019,"83,8","19,2","6,5","64,4","20,6",,,,,
